Task Name,Model Associated,Order,Description,Tcode Associated
Intake QN,13.3.3.1 -FS Assess potential impact (Field Services QN) 1.00,22,"NCRB prioritization sequence.
1) Customer Triage Yes – these are customer impacting NCs and are most likely to lead an escalated Tier 4+ issue => Prio 1
2) FT Yes – these are high cost NCs where there may be preventative actions to prevent reoccurrence => Prio 2
3) No to all triage & PrevSF + sort on “Total Actuals” - Costs can continue to accrue after the triage questions were answered. Preventative actions could prevent reoccurrence. Each KPU shall have a cost threshold for what they will work on. => Prio 2
4) No to all triage & PrevSF + sort on “Material Refs” - some materials could be seeing more frequent than usual references on NCs. This can help identify repeat and trending issues which may require attention. => Prio 3
Note 1: Only one material is referenced per NC (not all materials ordered are listed)
Note 2: This field can also be overwritten in FSM so it does not always correspond to an ordered material
Note 3: This calculates how many other NCs reference this P/N. You may have to widen the NC Creation date filter.
5) No to all Triage & Prev SF + Documentation/BOM/SW Why 5 – Some NCs should be fixed regardless of prioritization and depends on the department which will be working on them. For example; BOM, Documentation, Software will work on every NC. => Prio 3","Fiori QM03: Display Quality Notification (Application),
Fiori QM11: Display Quality Notifications - Worklist (Application)"
Interface from Blackline to S/4HANA for clearing items,9.3.2.2 -OIM Process journal entries (Open Item Clearing & ICRRB) 1.00,5,Interface from Blackline to S4,BlackLine BlackLine: (Financial Closing) (Application)
Interface from Blackline to S4,9.3.2.2 -JE Process journal entries 1.00,14,,BlackLine BlackLine: (Financial Closing) (Application)
Interface from S4 to Blackline,9.3.2.2 -JE Process journal entries 1.00,16,This interface will send the posted journal entry docuemnet number from S4 to Blackline,
Intiate corrective actions,4.4.2.2 -PGR Manage Inbound Material Flow (Problematic Goods Receipt) 1.00,30,,
Investigate & Rectify,9.3.1.5 Establish common financial systems (FCC) 1.00,11,To investigate why the carryforward balance does not reconcile between subledger (AP/AR/AA) and GL balances and rectify.,
Investigate and validate root cause(s),13.3.3.3 Identify root cause(s) (8D Problem solving) 1.00,15,"Identify Root Cause: From data and use of a systematic methodology such as 5 Whys or a Fishbone Diagram.
Verify Root Cause: Prove the root cause hypothesis is correct. Show a clear cause/effect relationship between the problem and root cause hypothesis",
Investigate asset with failed depreciation test run,9.3.3.6 Calculate and record depreciation expense 1.00,23,,
Investigate Good Issue error,4.4.3.1B Manage and track inventory deployment 2.00,28,,"Fiori CO02: Change Production Order for Production Supervisor - Discrete Manufacturing (Application),
Fiori CO03: Display Production Order (Application)"
"Investigate issue, advise user how to resolve","2.4.1.11 Errors resolution (Assertion) Rule checks and Pro Demotion (ER, MM, BOM, DIR) 1.00",18,"Request and validate what the user himself has undertaken to resolve the issue, Investigate the issue and advise the user how to resolve the issue.
Stimulate the requestor to resolve the issue himself to maximize learning experience.",
Investigate material with abnormal cost,9.1.2.4 -EXT MAKE Perform product costing (Existing Make Part) 1.00,19,,Fiori CK40N: Edit Costing Run for Cost Accountant - Inventory (Application)
Investigate Quality Notification,13.3.3.1B -FS Assess potential impact (Field Services QN wrong part return) 1.00,8,,"Fiori QM02: Change Quality Notification for Quality Engineer (Application),
MS Office (Application)"
Investigate reason for EDI posting error,9.2.2.2 -INV Generate customer billing data 1.00,31,"By executing the T-code ZEDILOG, the AR accountant will know what are the idoc postings that having EDI failure.",SAP ZEDILOG: EDI Idoc Log (Application)
Investigate reason for posting error,9.2.2.2 -INV Generate customer billing data 1.00,8,AR accountant to check why the invoice cannot be posted in FI posting.,Fiori VFX3: List Blocked Biling Documents (Application)
Investigate reasons for mis-matched balances,9.3.4.8B Perform legal and management consolidation (Data Submission) 1.00,21,,
Investigate reasons for mis-matched transaactions,9.2.2.2 -INV Generate customer billing data 1.00,34,,
Investigate reasons for mis-matched transaactions,9.2.2.2 -INV Generate customer billing data 1.00,38,,
"Investigate RGR issue, determine resolution, close activity management PGR task",4.4.2.2 -PGR Manage Inbound Material Flow (Problematic Goods Receipt) 1.00,6,,Fiori : Create Activity - Procurement (Application)
Invite requestor to join intake session,13.8.1.1A Provide BIA training (Intake + installation PBI software) 1.00,23,In fixed time slot(s). One for Asia and for US time zone the requestor will be invited to join an intake session.,
IQ&S Data Consumption,5.0.0 IQ&S Data Consumption 2.00,2,"Executable: Display, Print, Viewing IQ&S data","CATS_DA (Application),
Fiori IA07: Display General Task List (Application),
Fiori IA09: Display Task Lists (Application),
Fiori IA10: Display Task Lists (Multilevel) (Application),
Fiori IA13: Display FunctLoc Task List (Application),
Fiori IB03: Display Equipment BOM (Application),
Fiori IB13: Display Functional Location BOM (Application),
Fiori IE03: Display Equipment for Technical Officer - Armed Forces (Application),
Fiori IH06: Display Functional Location (Application),
Fiori IH07: Display Reference Location (Application),
Fiori IH08: Display Equipment (Application),
Fiori IH09: Display Material (Application),
Fiori IK06: Display Measuring Points for Object (Application),
Fiori IK07: Display Measuring Points (Application),
Fiori IK13: Display Measurement Document (IK13) (Application),
Fiori IK17: Display Measurement Documents (Application),
Fiori IL03: Display Functional Location (IL03) for Technical Officer - Armed Forces (Application),
Fiori IQ03: Display Material Serial Number - IQ03 (Application),
Fiori IQ09: Display Material Serial Number ( List ) - IQ09 (Application),
Fiori IW29: Display Notifications (Application),
Fiori IW33: Display PM Order (IW33) (Application),
Fiori IW39: Display PM orders (Application),
Fiori IW3L: Display Order Component List (Application),
Fiori IW40: Display Orders (Multi-Level) (Application),
Fiori IW43: Display PM Order Confirmation (IW43) (Application),
Fiori IW49N: Display Orders and Operations (Application),
Fiori IW53: Display Service Notification (Application),
Fiori IW59: Display Service Notification List (Application),
Fiori IW63: Display Historical PM Order (Application),
Fiori IW65: Display activities (Application),
Fiori IW67: Display Tasks (Application),
Fiori IW69: Display Notification Items (Application),
Fiori VA03: Display Credit Memo Request. Display Debit Memo Request. Display Sales Order Without Charge. Display Sales Orders. Display Sales Orders - VA03. Display Sales Plan. Sales Orders (Application),
Fiori VA23: Display Sales Quotations - VA23 (Application),
Fiori VL03N: Display Outbound Delivery. Display Returns Delivery (Application),
SAP CADO: Time Sheet: Display Data (Application),
SAP CAT3: Time Sheet: Display Times (Application),
SAP IH10: Display Equipment (Application),
SAP IH11: Display Functional Location (Application),
SAP IW73: Display Service Order (Application),
SAP IW75: Display Serviceable Item Contract (Application)"
Is Assy/Test Failure related to Parts?,4.3.2.2F Execute detailed line schedule (exception handling 1.00,16,,
Is the Assembly an end-product to be shipped?,4.3.2.2B Execute detailed line schedule (Assembly Testing) 2.00,25,"inputs
Routing (equipment)
WBS (retrofit XR-...-..-..)",
Isolate the physical stock,13.3.3.3.2C Material purge process 1.00,13,"The quantities at the potential locations where non-conforming material can be located must be physically and electronically controlled at locations mentioned by moving the defective parts physically and in SAP to ‘MRB’ location.
The release of this blocked inventory should be done only after receipt of an email from SQE to the location owners with Product Support or Manufacturing Engineer or Supplier Development Engineer in copy.
Until further notice by an email from SQE, the controlled quantities may not be transferred to any other physical or electronic location and may not be used to install on the tools/retrofits in the field or in manufacturing.
1490 Form 3 (Quarantine Label) must be pasted/stapled on every package of the physical stock to clearly indicate that the part is not usable.",
Issue ‘Resume Build order’ to supplier.,13.3.3.3.2C Material purge process 1.00,19,"After the supplier’s containment/corrective actions are found satisfactory, the Supplier Quality Engineer must issue a ‘Resume Build Order’ (Form 1) to the supplier. Purchasing, Commodity Management, and other affected functions must be in the copy when the ‘Resume Build Order’ is issued to the supplier. The reason why the ‘Resume Build Order’ was issued should be explained by SQE to the ASM stakeholders.",
Issue Good Scrap Note (GSN),13.3.3.1E -MFG Assess potential impact (MFG QNs) 1.00,16,,
Issue Goods,"4.4.4.1 Plan, transport and deliver outbound product 2.00",22,Goods Issue is automatically posted for the intermediate plants in case of X-docking,"Fiori MMBE: Display Stock Overview (Application),
Fiori VL02N: Change Outbound Delivery. Change Returns Delivery (Application)"
Issue IC PO,4.1.7.3 Establish dynamic deployment policies 2.00,36,An IC PO is issued in case there is so that stock can be released from one location to the other.,
Issue Non-Conforming Material Purge Order,13.3.3.3.2C Material purge process 1.00,11,"The Supplier Quality Engineer updates the quantities in 1490 Form 2 “Non-Conforming Material Purge Order” (Record using SAP transaction MB52.
The Supplier Quality Engineer issues “1490 Form 2 Non-Conforming Material Purge Order” to the owners of the respective departments that are in charge of the affected quantities.
1490 Form 2 serves to record and consolidate the affected part numbers and quantities in various locations along the supply chain and it also provides the screening criteria to the location owners.",Email (Application)
Issues with Drawing or BOM?,4.3.2.2F Execute detailed line schedule (exception handling 1.00,12,,
Judge and approve fallout list / additional material request,4.4.2.6 Salvage or repair returned products (CKM Kit Cleaning) 1.00,38,"Key activities:
Study supplier fallout list / additional material request taking number of cleaning cycles into account
Contact cleaning supplier directly in case of questions
Approve or reject request and propose alternative solution",
Label additional inventorised material,4.4.3.5 -GSNIA Track Inventory Accuracy (Goods Scrap Notification Inventory Adjustment) 1.00,22,"Key activities:
Print the part label(s) and stick it to item(s)",SAP ZLE_LABEL_COCKPIT: Print Pick Label (Application)
LE Shipment (consolidation),"4.4.4.1 Plan, transport and deliver outbound product 2.00",20,LE: Logistic Execution,"Fiori VT01N: Create Shipment (Application),
Fiori VT02N: Change Shipment DEPRECATED (Application),
SAP VT70: Output for Shipments (Application)"
Leave costs in AUC,9.3.3.3 -AA ADD Process and record fixed-asset additions and retires (Additions) 1.00,1,"if no final asset number is created, WBS remains unteco, the cost will be settled to AUC asset number.",Fiori S_ALR_87011990: History Sheet - Classic (Application)
Level 1 approval,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",42,,
Level 1 approval,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",39,Level 1 approval,"Fiori F0312: Quality Notification for Quality Engineer (Application),
Fiori QM02: Change Quality Notification for Quality Engineer (Application)"
Level 1 approval,"13.3.3.1E.2 SPDA(Short Ship Deviation-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",10,,
Level 1 approval,"13.3.3.1E.1 SPDA (Non short ship-Type 1)GOPS 8200,3300,GSS 3118 Ariba supplier 1.00",5,MFG Engineering approval,"Fiori F0312: Quality Notification for Quality Engineer (Application),
Fiori QM02: Change Quality Notification for Quality Engineer (Application),
Fiori QM03: Display Quality Notification (Application),
SAP ARIBA - SCC - QM (Application)"
