Tcode Name,Description
SAP AFO Finance Shared Service KPI - G/L KPI Volume,"AFO: Analytics For Office
The Finance Shared Service KPI Report GL report contains the worksheets:
Summary
Trend
Details"
SAP AFO Finance shared Service KPI Report AR Invoices,"AFO: Analytics For Office
The Finance shared Service KPI Report AR Invoices report contains the worksheets:
Summary
Detail
Trend"
SAP AFO Forecast Delta,"AFO: Analytics For Office
The Forecast Review (Bookings) report contains the worksheets:
Booking
Revenue"
SAP AFO Forecast Review,"AFO: Analytics For Office
The Forecast Review (Revenue) report contains the worksheets:
Bookings Forecasted (>=50%)
Bookings with BU Opp (>=40%)
Bookings with Upside (>=30%)
Bookings with All (>0%)
Revenue Forecasted (>50%)
Revenue with BU Opp (>=40%)
Revenue with Upside (>=30%)
Revenue with All (>0%)"
SAP AFO Gross Margin Service & Spares,"AFO: Analytics For Office
The Gross Margin Service & Spares report contains the worksheets:
Overview
P&L (Trend by KPI)
P&L (Trend by Region)"
SAP AFO GSS Forecast Planning,"AFO: Analytics For Office
The GSS Forecast Planning report contains the worksheets:
By Revenue Type"
SAP AFO OC (COPA) - Consolidated (IFRS),"AFO: Analytics For Office
The OC (COPA) - Consolidated (IFRS) report contains the worksheets:
By BU
By Sales Region
By Customer
By Product
By Project
Actual Vs Plan"
SAP AFO OC (Order Contribution) Service and Spares,"AFO: Analytics For Office
The OC (Order Contribution) Service and Spares report contains the worksheets:
By Sales Region
Trend
By Customer
By Product
Spares by Material
Spares by Material (Qty)
Paid Service
Service Contracts"
SAP AFO Order Contribution (COPA),"AFO: Analytics For Office
The COPA: Order contribution report contains the worksheets:
By BU
By Sales Region
By Customer
By Product
By Project
Actual Vs Plan"
SAP AFO Profit and Loss (COPA),"AFO: Analytics For Office
The Profit and Loss (COPA) report contains the worksheets:
Actual Vs Plan
By Company"
SAP AFO Profit and Loss (COPA) - Consolidated (IFRS),"AFO: Analytics For Office
The Profit and Loss (COPA) - Consolidated (IFRS) report contains the worksheets:
Actuals
By Company"
SAP AFO Profit and Loss (COPA) - YTY & QTQ,"AFO: Analytics For Office
The Profit and Loss (COPA) - YTY & QTQ report contains the worksheets:
Document Currency Comparable YTY
Document Currency Comparable QTQ
Consolidated YTY QTQ - Local Currency Comparable (YTY)
Consolidated YTY QTQ - Local Currency Comparable (QTQ)"
SAP AFO Profit and Loss (FI vs COPA),"AFO: Analytics For Office
The Profit and Loss (FI vs COPA) report contains the worksheets:
Sales
Net Earnings"
SAP AFO Profit and Loss (FI),"AFO: Analytics For Office
The Profit and Loss (FI) report contains the worksheets:
Overview
QTD by Month
YTD by Month"
SAP AFO Revenue Balance Report,"AFO: Analytics For Office
The Revenue Balance report supports the variants:
Order
WBS"
SAP AFO Sales & BU Driven Bookings,"AFO: Analytics For Office
The Sales & BU Driven Bookings report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Sales & BU Driven Revenue,"AFO: Analytics For Office
The Sales & BU Driven Revenue report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Sales & BU Driven Summary,"AFO: Analytics For Office
The Sales & BU Driven Summary report contains the worksheets:
Booking
Revenue"
SAP AFO Service Contracts - Details,"AFO: Analytics For Office
The Service Contracts - Details report contains the worksheets:
(Order Cost) - Detailed Costs
(Order Cost) - Detailed Hrs & Qty
(WBS Cost) - Contract Services (CKM Project)
(COPA) - Contract Revenue by Region
(COPA) - By Customer"
SAP AFO Settlement Check Report,"AFO: Analytics For Office
The Settlement Check report contains the worksheets:
Overview
Order
WBS
Network
CC
Contract"
SAP AFO Upside to Forecast Bookings,"AFO: Analytics For Office
The Upside to Forecast Bookings report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Upside to Forecast Revenue,"AFO: Analytics For Office
The Upside to Forecast Revenue report contains the worksheets:
Current Year
4 Rolling Quarters
Open Date"
SAP AFO Upside to Forecast Summary,"AFO: Analytics For Office
The Upside to Forecast Summary report contains the worksheets:"
SAP AFO: (Analytics For Office) org,
SAP AKE3: Display Condition,
SAP AL11: Display SAP Directories,
SAP APB_LPD_CALL_B_I_TXN: Call Transaction via Batch Input,
SAP APB_LPD_CALL_TRANS: APB_LPD_CALL_TRANSACTION,
SAP AR01: Asset Balances,
SAP AR03: Call Up Depreciation List,
SAP ARIBA - CIG,"SAP Ariba - CIG: Cloud Integration Gateway
System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA - SCC - INV,"SAP Ariba - SCC: Supplier Chain Collaboration, - INV: Invoicing
System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA - SCC - MM,"SAP Ariba - SCC: Supplier Chain Collaboration, - MM: Material Management (Procure)
System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA - SCC - QM,"SAP Ariba - SCC: Supplier Chain Collaboration, - QM: Quality Management
System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA - SLP,"SAP Ariba - SLP: Supplier Lifecycle and Performance
System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA - Sourcing,"System module ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ARIBA / Business Network,"SAP Ariba
System ID: S3-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP AS92: Change Old Asset,
SAP AS93: Display Old Asset,
SAP AUT10: Evaluation of Audit Trail,
SAP BD87: Status Monitor for ALE Messages,
SAP BMAX: (Material Master Extension & Allocation Tool) (LeverX),BMAX is a software tool developed by Lever X to automate and streamline the management of Bill of Materials (BOM) within SAM system
SAP BRF+: (Business Rule Framework Plus) org,"SAP Business Rule Framework
Use to e.g.: Validate ER Promotion and Demotion conditions.."
SAP BW / BPC 10.0 (Business Warehouse),"SAP Business Warehouse
System ID: S9-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP BW/4HANA / BPC 11.1,"SAP BW/4HANA
System ID: S9-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP C/4HANA,"System ID: S5-07
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP C223_D: Display Production Version,
"SAP CA51: Print Rtg/Ref.Op.Set, Fields Fixed",
SAP CA60: Changes in Routings/Ref. Op. Sets,
SAP CA61: Change Documents for Routing,
SAP CA98: Deletion of task lists,
SAP CADO: Time Sheet: Display Data,
SAP CAT2: Time Sheet: Maintain Times,
SAP CAT3: Time Sheet: Display Times,
SAP CAT6: Transfer External -> Time Management,
SAP CAT9: Data Transfer CATS -> PM/CS,
SAP CATS_APPR_LITE: Approve Working Times,
SAP CC05: Change overview,
SAP CC07: Engineering Change Mgnt information,
SAP CC15: Change Document Revision Level,
SAP CC16: Display Document Revision Level,
SAP CC23: Display Object Management Record,
SAP CC92: Distribute change number,
SAP CCUNDO: Undo Changes,
SAP CDESK: CAD Desktop,
SAP CEWB: PP Engineering Workbench,
SAP CFM1: Create Integration Model,
SAP CFM2: Manually Activate Integration Models,
SAP CFM9: Integration model activ. RIMODINI,
SAP CI03: Display CIAP Document,
SAP CJ40: Change Project Plan,
SAP CJ41: Display Project Plan,
SAP CJ42: Change Project Revenues,
SAP CJ43: Display Project Revenues,
SAP CJ7G: Plan Data Transfer: Projects,
SAP CJ80: Availability Control - Overview,
SAP CJ9E: Plan Settlement: Projects,
SAP CJ9G: Plan Settlement: Projects,
SAP CJBN: Reconstruct Availability Control,
SAP CJCD: Change documents: WBS,
SAP CJEN: Reconstruct: Summarized Proj.Data,
SAP CJI2: Budget Line Items: Document Chain,
SAP CJIC: Maintain Project Settlement LIs,
SAP CJID: Display Project Settlement Line Itms,
SAP CJIE: Projects: Retirement LI Settlement,
SAP CJK3: Display Statistical Key Figures,
SAP CJR3: PS: Display plan CElem/Activ. input,
SAP CK31: Print Log of Costing Run,
SAP CK33: Comparison of Itemizations,
SAP CK43: Display Costing Run,
SAP CK80: Flexible Cost Component Report,
SAP CK83: Print Cost Estimates in Background,
SAP CK84_99_COST_ELEMENT: Cost Elements,
SAP CKMLLASHOW: Display Activity Prices,
SAP CKW3: Display Production Lot Cost Est.,
SAP CL26: Mass Release of Assignments,
SAP CL2A: Classification Status,
SAP CL6A: Class List,
SAP CL6B: Object List,
SAP CL6D: Classes Without Superior Class,
SAP CM21: Capacity leveling. SFC planning table,
SAP CN20: Dsply network/act.bsc data init.scrn,
"SAP CN26: Display Mat.Comp/Init: Ntwk,Acty,Itm",
SAP CN34: Maintain release table TCNRL,
SAP CN36: BOM Transfer Profile,
SAP CN40: Project Overview,
SAP CNB2: Purchase orders for project,
SAP CNS40: Project Overview,
SAP CNS41: Structure Overview,
SAP CNS42: Overview: Project Definitions,
SAP CNS43: Overview: WBS Elements,
SAP CNS44: Overview: Planned Orders,
SAP CNS45: Overview: Orders,
SAP CNS46: Overview: Networks,
SAP CNS47: Overview: Activities/Elements,
SAP CNS48: Overview: Confirmations,
SAP CNS49: Overview: Relationships,
SAP CNS50: Overview: Capacity Requirements,
SAP CNS51: Overview: PRTs,
SAP CNS52: Overview: Components,
SAP CNS53: Overview: Milestones,
SAP CNS60: Change Documents for Projects/Netw.,
SAP CO05: Collective Release of Prod. Orders,
SAP CO11: Enter Time Ticket,
SAP CO21: Orders for Material,
SAP CO22: Orders for MRP Controller,
SAP CO23: Orders for the production scheduler,
SAP CO26: Order information system,
SAP CO82: Number ranges for orders,
SAP COHVOMPRINT: Print Production Orders,
SAP COHVOMRELEASE: Release Production Orders,
SAP COIS: Order info system: customizing,
SAP COMAC: Collective Availability Check,
SAP COMMPR01: Product Workbench,
SAP CONCUR,"System ID: S7-11
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CONCUR - Expense,"System module ID: S7-11
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CONV01: Converter: Display application log,
SAP Core System (Script Engine) org,
SAP CPI (Cloud Platform Integration),"SAP Cloud Platform Integration
System ID: SA-07
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CQ85: Maintain prt control for insp. order,
SAP CR04: Test Work Center Formulas,
SAP CR05: Work Center List,
SAP CR06: Work Center Assignment to Cost Ctr,
SAP CR09: Task list reference text,
SAP CR15: Capacity where-used,
SAP CR60: Work center information system,
SAP CRM - Opportunity (Customer Relationship Management),"SAP CRM for Opportunity
System module ID: S5-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CRM - Quotation (Customer Relationship Management),"SAP CRM for Quotation
System module ID: S5-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CRM (Customer Relationship Management),"SAP Customer Relationship Management
System ID: S5-01
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP CRM (Golden Client) org,
SAP CRQ2: Change work center,
SAP CRQ3: Display work center,
SAP CSAB: Browse Sales Order BOM,
SAP CT02: Change Characteristic,
SAP CT06: Display Characteristic,
SAP CT11: CT12,
SAP CU34: Create Runtime Version for SCE,
SAP CX58: Journal Entry Report,
SAP CXE9N: Start IMG for SAP Cons (internal),
SAP DMS_PDFCONV: PDF Conversion,
SAP DP98: Resource for Billing Request,
SAP DP99A: Doc.Flow Reporting - Res.-Rel. Bill.,
SAP DP99B: Doc.Flow for Res.-Rel. Bill. - SD,
SAP DP99C: Doc.Flow for Res.-Rel. Bill.-Service,
SAP E4C,
SAP ECC - CLASS (Classification),"SAP Classification
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - CO (Controlling),"SAP Controlling
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - CS (Customer Service),"SAP Customer Service
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - FI (Financial Accounting),"SAP Financial Accounting
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - HR (Human Resource),"SAP Human Resource
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - HR PA_SE_IN Integration,"SAP HCM and SuccessFactors EC Integration
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - LE (Logistics Execution),"SAP Logistics Execution
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - LOVC (Variant Configuration),"SAP Variant Configuration
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - MM (Materials Management),"SAP Materials Management
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - MRS (Multi-Resource Scheduling),"SAP Multi-Resource Scheduling
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - PM (Plant Maintenance),"SAP Plant Maintenance
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - PP (Production Planning),"SAP Production Planning
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - PS (Project System),"SAP Project System
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - QM (Quality Management),"SAP Quality Management
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - SD (Sales & Distribution),"SAP Sales & Distribution
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC - WM (Warehouse Management),"SAP Warehouse Management
System module ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECC (ERP Core Component) (Enterprise Resource Planning),"SAP ERP
System ID: SA-08
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECP (ECC Production System) org,
SAP ECPAO_EE_ORG_QUERY: Create EE Master Data and Orgas Qry,
SAP ECQ (ECC Quality System) org,
SAP ECTR (Engineering ConTRol center),"ECTR (Client Software) - Standard
System ID: S1-04
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ECTR Interface to Creo org,"The SAP ECTR interface to Creo is the interface between:
PTC CAD authoring tool Creo
SAP PLM graphical user interface ECTR (Engineering ConTRol center)
SAP ERP back-end Enterprise Resource Planning system"
SAP Enable Now (Training),"SAP Enable Now Training
System ID: SA-17
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP Enterprise Search,"System module ID: S1-15
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP EPD: Enterprise Product Development,"SAP Enterprise Product Development
System ID: S1-25
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ESH_COCKPIT: Connector Administration Cockpit,
SAP ESS - BEX (Employee Self Service Business EXplorer),"SAP ESS - Business Explorer
System module ID: S9-03
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ESS - Leave (Employee Self Service),"SAP ESS - Leave Request (SG)
System module ID: S10-02
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP ESS - Travel (Employee Self Service),"SAP ESS - Travel Management
System module ID: S7-19
Imported from ASM Systems list for TRANS4M! on 2024-04-23"
SAP EVC: (ECC Variant Configuration Development System aka Golden Client) org,
SAP Event Log Viewer org,
SAP F.01: ABAP Report: Financial Statements,
SAP F.07: G/L: Balance Carryforward,
SAP F.10: G/L: Chart of Accounts,
SAP F.16: ABAP/4 Report: G/L Bal.Carryforward,
SAP F.31: Credit Management - Overview,
SAP F-26: Incoming Payments Fast Entry,
SAP F-28: Post Incoming Payments,
SAP F-32: Clear Customer,
SAP F-39: Clear Customer Down Payment,
SAP F-41: Enter Vendor Credit Memo,
SAP F-42: Enter Transfer Posting,
SAP F-43: Enter Vendor Invoice,
SAP F-44: Clear Vendor,
SAP F-60: Maintain Table: Posting Periods,
SAP F-63: Park Vendor Invoice,
SAP F-66: Park Vendor Credit Memo,
SAP FAA_CLOSE_FISC_YEARS: Fiscal Year Change in Asset Accounting,
SAP FAGL_FC_VAL: Foreign Currency Valuation,
SAP FAGL_MM_RECON: Bal. Reconcil.: Gen. Ldgr / Material,
SAP FAGLB03A: Display Balances,
SAP FAGLSKF4: Stat. Key Figures: Document Display,
SAP FB10: Invoice/Credit Fast Entry,
SAP FB11: Post Held Document,
SAP FB13: Release for Payments,
SAP FB1D: Clear Customer,
SAP FB1K: Clear Vendor,
SAP FB1S: Clear G/L Account,
SAP FB65: Enter Incoming Credit Memos,
SAP FB75: Enter Outgoing Credit Memos,
SAP FBA6: Vendor Down Payment Request,
SAP FBA8: Clear Vendor Down Payment,
SAP FBD5: Realize Recurring Entry,
SAP FBL1: Display Vendor Line Items,
SAP FBL1H: Vendor Line Item Browser,
SAP FBL2N: Vendor Line Items,
SAP FBL3: Display G/L Account Line Items,
SAP FBL3H: G/L Account Line Item Browser,
SAP FBL4N: G/L Account Line Items,
SAP FBL5: Display Customer Line Items,
SAP FBL6N: Customer Line Items,
SAP FBM1: Enter Sample Document,
SAP FBMP: Maintain Dunning Procedure,
SAP FBV1: Park Document,
SAP FBVB: Post Parked Document,
